6,CPLEX_BENDERS,CPLEX_NOSEC,GREEDY_ITER,2OPT_GREEDY,TABU_SEARCH,VNS
pr439.tsp,75499.558441,75499.558441,127228.356979,109754.153061,109754.153061,108997.349518
kroA150.tsp,26447.338871,21963.634014,31482.019985,27027.069450,27027.069450,26642.623043
d198.tsp,13585.469376,8724.559797,17648.546316,15980.221050,15962.571833,15888.009148
ch130.tsp,6029.079937,4648.492650,7198.741130,6250.974169,6250.974169,6122.371582
kroB100.tsp,22043.111021,17457.685081,25882.973104,22346.609419,22346.609419,22139.074553
berlin52.tsp,7480.334677,6486.433582,8182.191572,7658.958357,7544.365919,7544.365919
eil51.tsp,422.788995,390.777269,505.773665,431.873979,431.873979,428.871757
kroD100.tsp,21200.941969,17176.404745,24855.799292,21551.932631,21529.877571,21294.290777
pr299.tsp,45138.543082,41089.568715,58288.147527,49559.408620,49559.408620,48644.255269
ch150.tsp,6518.421327,5680.257210,7078.444638,6560.940100,6560.940100,6577.766564
pr107.tsp,44018.841064,16091.168823,46678.154236,44346.186935,44346.186935,44301.683777
kroB200.tsp,29147.840304,24899.741460,35394.008803,30464.582797,30464.582797,29611.410312
a280.tsp,2559.936828,2378.830431,3094.278432,2663.352404,2650.187314,2629.639592
pr264.tsp,37166.932358,30943.021988,54491.481781,50739.357056,50739.357056,49190.470306
pr76.tsp,104443.257385,83410.699463,130921.005005,108879.743835,108879.743835,108159.438293
d493.tsp,26714.855570,26714.855570,41499.354752,35698.152233,35681.992359,36001.088421
pr136.tsp,96064.295471,79288.506836,114560.902039,103459.465759,103459.465759,97119.312073
kroA100.tsp,20997.356293,17205.602058,24698.496544,21362.979462,21362.979462,21285.443085
kroB150.tsp,25061.327078,22514.616940,31320.340513,26630.076422,26630.076422,26149.907034
bier127.tsp,118034.140442,106114.660400,133970.645874,119336.775421,119336.775421,118370.828461
kroC100.tsp,20534.889885,17887.505978,23566.403046,20996.576187,20940.335793,20750.762535
eil76.tsp,538.983890,515.437883,612.655822,559.315408,559.315408,544.861819
pr124.tsp,58125.742615,40291.505768,67056.600891,59086.809631,59086.809631,59030.735779
eil101.tsp,635.739455,564.353708,736.368439,652.097339,647.716178,646.355993
kroA200.tsp,28815.976480,23767.258027,34547.690683,29666.402899,29666.402899,29655.219454
pr152.tsp,73094.862366,28176.762039,79566.585663,74461.655304,74461.655304,73683.640747
pr226.tsp,58629.012451,44647.851868,92552.742645,82140.452728,82140.452728,80502.676331
pr144.tsp,57941.373108,24687.680420,60963.264893,58669.427002,58669.427002,58535.221497
kroE100.tsp,21881.822952,18343.000145,24907.021629,22407.485947,22407.485947,22068.758774
